YCL066W	YKL178C
YCL066W	YPL187W
YCL067C	YCL066W
YCL067C	YDR103W
YCL067C	YGR044C
YCL067C	YPL187W
YCR040W	YKL178C
YCR040W	YPL187W
YCR096C	YCR039C
YCR096C	YCR040W
YCR096C	YKL178C
YCR097W	YCL066W
YCR097W	YCR039C
YCR097W	YCR040W
YCR097W	YDR103W
YCR097W	YGR044C
YCR097W	YKL178C
YDR081C	YDR042C
YDR081C	YDR317W
YDR081C	YDR463W
YDR421W	YCL065W
YDR421W	YCL066W
YDR421W	YCL067C
YDR421W	YIL002WA
YDR463W	YCR018CA
YDR463W	YCR019W
YDR463W	YCR096C
YDR463W	YDR042C
YDR463W	YDR078C
YDR463W	YDR079W
YDR463W	YDR084C
YDR463W	YDR103W
YDR463W	YGL001C
YDR463W	YGR071C
YDR463W	YGR072W
YDR463W	YHR156C
YDR463W	YHR157W
YDR463W	YIL002WA
YDR463W	YJL085W
YDR463W	YJR011C
YDR463W	YLR261C
YDR463W	YLR262C
YDR463W	YMR019W
YDR463W	YMR228W
YDR463W	YNR049C
YDR463W	YOL126C
YDR463W	YOL159C
YFL021W	YCR018CA
YFL021W	YCR019W
YFL021W	YCR096C
YFL021W	YDR040C
YFL021W	YDR042C
YFL021W	YDR078C
YFL021W	YDR079W
YFL021W	YDR084C
YFL021W	YDR210WD
YFL021W	YDR317W
YFL021W	YDR520C
YFL021W	YDR522C
YFL021W	YGL001C
YFL021W	YGR071C
YFL021W	YGR072W
YFL021W	YGR271W
YFL021W	YHR156C
YFL021W	YHR157W
YFL021W	YJL085W
YFL021W	YJL110C
YFL021W	YJR011C
YFL021W	YLR023C
YFL021W	YLR261C
YFL021W	YLR262C
YFL021W	YML099C
YFL021W	YMR019W
YFL021W	YMR098C
YFL021W	YMR228W
YFL021W	YMR258C
YFL021W	YNR049C
YFL021W	YOL159C
YGL035C	YBR019C
YGL035C	YBR020W
YGL035C	YDL149W
YGL035C	YDL151C
YGL035C	YDR009W
YGL035C	YDR040C
YGL035C	YLR377C
YGL035C	YMR280C
YGL035C	YPL248C
YGL209W	YBR019C
YGL209W	YBR020W
YGL209W	YDR009W
YGL209W	YDR040C
YGL209W	YDR078C
YGL209W	YDR079W
YGL209W	YDR317W
YGL209W	YGL035C
YGL209W	YLR377C
YGL209W	YMR098C
YGL209W	YMR280C
YGL209W	YPL248C
YGL254W	YIL002WA
YGL254W	YOR140W
YGR044C	YCR018C
YGR044C	YOR140W
YHR006W	YCR039C
YHR006W	YCR040W
YHR006W	YCR041W
YHR006W	YDR103W
YIR017C	YDL149W
YIR017C	YDL151C
YIR017C	YLR023C
YJL056C	YCL065W
YJL056C	YCL066W
YJL056C	YCL067C
YJL056C	YCR039C
YJL056C	YCR040W
YJL056C	YCR041W
YJL056C	YDR545W
YJL056C	YER189W
YJL056C	YGR084C
YJL056C	YNL336W
YJL056C	YNL337W
YJL056C	YNL339C
YJL089W	YCR018CA
YJL089W	YCR019W
YJL089W	YDR317W
YJL089W	YDR522C
YJL089W	YER189W
YJL089W	YER190W
YJL089W	YLR377C
YJL089W	YMR086CA
YJL089W	YMR087W
YJL089W	YMR258C
YJL089W	YNL117W
YJL089W	YOL126C
YJL110C	YBL109W
YJL110C	YBL111C
YJL110C	YBL112C
YJL110C	YBL113C
YJL110C	YBR166C
YJL110C	YCL065W
YJL110C	YCL066W
YJL110C	YCL067C
YJL110C	YCR018CA
YJL110C	YCR019W
YJL110C	YCR039C
YJL110C	YCR040W
YJL110C	YCR041W
YJL110C	YCR096C
YJL110C	YDR040C
YJL110C	YDR084C
YJL110C	YDR543C
YJL110C	YDR544C
YJL110C	YDR545W
YJL110C	YER189W
YJL110C	YER190W
YJL110C	YGL001C
YJL110C	YGR296W
YJL110C	YHR091C
YJL110C	YKR034W
YJL110C	YLR023C
YJL110C	YMR098C
YJL110C	YNL337W
YJL110C	YNL339C
YJR147W	YBR166C
YJR147W	YDR210WD
YJR147W	YKL178C
YJR147W	YMR019W
YKL020C	YCR018CA
YKL020C	YCR019W
YKL020C	YCR096C
YKL020C	YDR040C
YKL020C	YDR084C
YKL020C	YDR210WD
YKL020C	YGL001C
YKL020C	YJR011C
YKL020C	YLR023C
YKL020C	YMR258C
YKR034W	YBL109W
YKR034W	YBL111C
YKR034W	YBL112C
YKR034W	YBL113C
YKR034W	YBR166C
YKR034W	YCR039C
YKR034W	YCR040W
YKR034W	YCR041W
YKR034W	YDR042C
YKR034W	YDR084C
YKR034W	YDR543C
YKR034W	YDR544C
YKR034W	YDR545W
YKR034W	YER189W
YKR034W	YER190W
YKR034W	YFL021W
YKR034W	YHR091C
YKR034W	YHR156C
YKR034W	YHR157W
YKR034W	YJL110C
YKR034W	YMR086CA
YKR034W	YMR087W
YKR034W	YNL337W
YKR034W	YNL339C
YLR013W	YBL109W
YLR013W	YBL111C
YLR013W	YBL112C
YLR013W	YBL113C
YLR013W	YCL065W
YLR013W	YCL066W
YLR013W	YCL067C
YLR013W	YCR039C
YLR013W	YCR040W
YLR013W	YCR041W
YLR013W	YDR543C
YLR013W	YDR544C
YLR013W	YDR545W
YLR013W	YER189W
YLR013W	YGR296W
YLR013W	YHR091C
YLR013W	YNL336W
YLR013W	YNL337W
YLR013W	YNL339C
YLR098C	YCL065W
